GAME_ID,GAME_DATE,PREDICTED,ACTUAL,ERROR,ABS_ERROR
22200587,2023-01-06,6.3823314,13,-6.617668628692627,6.617668628692627
22200582,2023-01-06,-1.5628117,-4,2.4371882677078247,2.4371882677078247
22200590,2023-01-06,0.6841455,16,-15.315854489803314,15.315854489803314
22200583,2023-01-06,-1.0331514,-29,27.966848611831665,27.966848611831665
22200581,2023-01-06,0.7422854,-14,14.742285370826721,14.742285370826721
22200584,2023-01-06,-0.052944385,17,-17.052944384515285,17.052944384515285
22200585,2023-01-06,9.129726,12,-2.8702735900878906,2.8702735900878906
22200589,2023-01-06,5.9225545,-8,13.92255449295044,13.92255449295044
22200588,2023-01-06,9.738147,13,-3.2618532180786133,3.2618532180786133
22200586,2023-01-06,6.919966,-6,12.919966220855713,12.919966220855713
22200580,2023-01-06,4.054101,9,-4.94589900970459,4.94589900970459
22200591,2023-01-07,8.656078,-5,13.656078338623047,13.656078338623047
22200592,2023-01-07,9.726387,8,1.7263870239257812,1.7263870239257812
22200594,2023-01-07,2.7861266,-14,16.786126613616943,16.786126613616943
22200595,2023-01-07,4.461854,-2,6.461853981018066,6.461853981018066
22200593,2023-01-07,-6.5528307,10,-16.552830696105957,16.552830696105957
22200604,2023-01-08,7.1784563,-4,11.17845630645752,11.17845630645752
22200601,2023-01-08,-5.089424,-8,2.9105758666992188,2.9105758666992188
22200602,2023-01-08,-7.351551,11,-18.351551055908203,18.351551055908203
22200598,2023-01-08,-1.4754375,5,-6.475437521934509,6.475437521934509
22200596,2023-01-08,0.7078445,-12,12.707844495773315,12.707844495773315
22200600,2023-01-08,1.5467173,5,-3.4532827138900757,3.4532827138900757
22200597,2023-01-08,1.0006456,12,-10.999354362487793,10.999354362487793
22200603,2023-01-08,3.1271253,-14,17.12712526321411,17.12712526321411
22200599,2023-01-08,-1.9623854,-1,-0.9623854160308838,0.9623854160308838
22200610,2023-01-09,5.604811,25,-19.395188808441162,19.395188808441162
22200609,2023-01-09,1.418557,13,-11.581442952156067,11.581442952156067
22200608,2023-01-09,-3.362742,8,-11.362741947174072,11.362741947174072
22200606,2023-01-09,-9.277952,8,-17.277952194213867,17.277952194213867
22200605,2023-01-09,-4.1589904,-20,15.841009616851807,15.841009616851807
22200607,2023-01-09,3.4769268,-4,7.476926803588867,7.476926803588867
22200617,2023-01-10,-2.0543165,12,-14.054316520690918,14.054316520690918
22200616,2023-01-10,8.7620535,-3,11.762053489685059,11.762053489685059
22200612,2023-01-10,1.3669095,31,-29.633090496063232,29.633090496063232
22200614,2023-01-10,9.092967,2,7.0929670333862305,7.0929670333862305
22200613,2023-01-10,-7.79823,12,-19.798230171203613,19.798230171203613
22200611,2023-01-10,0.49359125,1,-0.5064087510108948,0.5064087510108948
22200615,2023-01-10,9.397913,-12,21.397912979125977,21.397912979125977
22200620,2023-01-11,-11.822702,-9,-2.822702407836914,2.822702407836914
22200619,2023-01-11,-4.323875,3,-7.3238749504089355,7.3238749504089355
22200625,2023-01-11,-1.8650935,20,-21.86509346961975,21.86509346961975
22200624,2023-01-11,14.592203,29,-14.407796859741211,14.407796859741211
22200621,2023-01-11,-4.356669,11,-15.356668949127197,15.356668949127197
