GAME_ID,GAME_DATE,PREDICTED,ACTUAL,ERROR,ABS_ERROR
22200587,2023-01-06,226.62634,243,-16.3736572265625,16.3736572265625
22200582,2023-01-06,216.99023,220,-3.009765625,3.009765625
22200590,2023-01-06,250.31506,244,6.3150634765625,6.3150634765625
22200583,2023-01-06,238.82133,247,-8.178665161132812,8.178665161132812
22200581,2023-01-06,235.03062,238,-2.9693756103515625,2.9693756103515625
22200584,2023-01-06,219.05617,237,-17.943832397460938,17.943832397460938
22200585,2023-01-06,233.27364,230,3.2736358642578125,3.2736358642578125
22200589,2023-01-06,220.58298,200,20.582977294921875,20.582977294921875
22200588,2023-01-06,225.67278,229,-3.3272247314453125,3.3272247314453125
22200586,2023-01-06,232.1309,210,22.130905151367188,22.130905151367188
22200580,2023-01-06,231.29167,207,24.291671752929688,24.291671752929688
22200591,2023-01-07,238.20845,237,1.2084503173828125,1.2084503173828125
22200592,2023-01-07,237.05634,244,-6.94366455078125,6.94366455078125
22200594,2023-01-07,230.00008,216,14.000076293945312,14.000076293945312
22200595,2023-01-07,235.34648,270,-34.65351867675781,34.65351867675781
22200593,2023-01-07,236.56783,244,-7.4321746826171875,7.4321746826171875
22200604,2023-01-08,254.92696,220,34.92695617675781,34.92695617675781
22200601,2023-01-08,225.07399,200,25.073989868164062,25.073989868164062
22200602,2023-01-08,213.4001,229,-15.599899291992188,15.599899291992188
22200598,2023-01-08,225.55028,227,-1.4497222900390625,1.4497222900390625
22200596,2023-01-08,244.78127,234,10.781265258789062,10.781265258789062
22200600,2023-01-08,228.40736,241,-12.592636108398438,12.592636108398438
22200597,2023-01-08,229.92941,222,7.929412841796875,7.929412841796875
22200603,2023-01-08,211.8946,210,1.8946075439453125,1.8946075439453125
22200599,2023-01-08,226.28313,203,23.283126831054688,23.283126831054688
22200610,2023-01-09,226.75613,247,-20.243865966796875,20.243865966796875
22200609,2023-01-09,225.98213,231,-5.0178680419921875,5.0178680419921875
22200608,2023-01-09,225.50462,234,-8.495376586914062,8.495376586914062
22200606,2023-01-09,228.95953,206,22.95953369140625,22.95953369140625
22200605,2023-01-09,235.69168,244,-8.308319091796875,8.308319091796875
22200607,2023-01-09,224.82054,218,6.8205413818359375,6.8205413818359375
22200617,2023-01-10,230.81018,214,16.8101806640625,16.8101806640625
22200616,2023-01-10,237.01268,215,22.012680053710938,22.012680053710938
22200612,2023-01-10,240.76826,263,-22.231735229492188,22.231735229492188
22200614,2023-01-10,238.87733,230,8.877334594726562,8.877334594726562
22200613,2023-01-10,217.76637,252,-34.23362731933594,34.23362731933594
22200611,2023-01-10,228.54765,223,5.5476531982421875,5.5476531982421875
22200615,2023-01-10,216.3216,238,-21.67840576171875,21.67840576171875
22200620,2023-01-11,230.77687,219,11.776870727539062,11.776870727539062
22200619,2023-01-11,235.04556,197,38.045562744140625,38.045562744140625
22200625,2023-01-11,241.10332,250,-8.896682739257812,8.896682739257812
22200624,2023-01-11,222.46667,223,-0.5333251953125,0.5333251953125
22200621,2023-01-11,236.97466,239,-2.0253448486328125,2.0253448486328125
22200622,2023-01-11,223.1027,232,-8.897293090820312,8.897293090820312
22200623,2023-01-11,231.57918,264,-32.42082214355469,32.42082214355469
22200618,2023-01-11,219.59355,253,-33.40644836425781,33.40644836425781
22200628,2023-01-12,223.6348,210,13.634796142578125,13.634796142578125
22200631,2023-01-12,244.52208,232,12.522079467773438,12.522079467773438
22200630,2023-01-12,229.49321,234,-4.5067901611328125,4.5067901611328125
22200629,2023-01-12,225.15646,238,-12.843536376953125,12.843536376953125
22200626,2023-01-12,231.69307,247,-15.306930541992188,15.306930541992188
22200627,2023-01-12,235.42743,207,28.42742919921875,28.42742919921875
22200637,2023-01-13,229.10388,237,-7.8961181640625,7.8961181640625
22200639,2023-01-13,220.12224,218,2.1222381591796875,2.1222381591796875
22200638,2023-01-13,223.6534,220,3.6533966064453125,3.6533966064453125
22200633,2023-01-13,242.78537,224,18.785369873046875,18.785369873046875
22200635,2023-01-13,239.25662,257,-17.743377685546875,17.743377685546875
22200636,2023-01-13,213.42964,234,-20.570358276367188,20.570358276367188
22200632,2023-01-13,229.83978,226,3.83978271484375,3.83978271484375
22200640,2023-01-13,238.82375,253,-14.176254272460938,14.176254272460938
22200634,2023-01-13,233.13283,220,13.132827758789062,13.132827758789062
22200642,2023-01-14,229.71411,228,1.714111328125,1.714111328125
22200641,2023-01-14,227.44011,206,21.440109252929688,21.440109252929688
22200643,2023-01-14,234.51407,242,-7.485931396484375,7.485931396484375
22200644,2023-01-14,244.78174,217,27.78173828125,27.78173828125
22200647,2023-01-14,220.36296,255,-34.63703918457031,34.63703918457031
22200645,2023-01-14,237.02112,212,25.0211181640625,25.0211181640625
22200646,2023-01-14,232.65094,235,-2.34906005859375,2.34906005859375
22200648,2023-01-15,225.81857,221,4.818572998046875,4.818572998046875
