stat,mae,rmse,bias
PTS,4.651538271936936,6.082222319315325,0.03299312794140501
REB,1.93003135462436,2.5420125681732677,0.005549808670465465
AST,1.3493248687707515,1.8378956382956662,-0.008979430967752725
FG3M,0.8958850318074825,1.251188906266004,-0.0032089460681687747
STL,0.708223709000864,0.9205456695465632,-0.01459237144218335
BLK,0.5321219829271923,0.7456917635766594,0.00013417916305258026
TOV,0.8954506601511841,1.174924626473237,-0.00403036803533531
MIN,5.104924926247595,6.630977649915189,0.056187200634311665
