GAME_ID,GAME_DATE,PREDICTED,ACTUAL,ERROR,ABS_ERROR
22200587,2023-01-06,110.97991,115,-4.020088195800781,4.020088195800781
22200582,2023-01-06,109.75296,112,-2.247039794921875,2.247039794921875
22200590,2023-01-06,123.77009,114,9.770088195800781,9.770088195800781
22200583,2023-01-06,118.219505,138,-19.780494689941406,19.780494689941406
22200581,2023-01-06,116.08832,126,-9.91168212890625,9.91168212890625
22200584,2023-01-06,110.31945,110,0.31945037841796875,0.31945037841796875
22200585,2023-01-06,111.83316,109,2.833160400390625,2.833160400390625
22200589,2023-01-06,109.70982,104,5.7098236083984375,5.7098236083984375
22200588,2023-01-06,108.59096,108,0.5909576416015625,0.5909576416015625
22200586,2023-01-06,110.57733,108,2.57733154296875,2.57733154296875
22200580,2023-01-06,114.611145,99,15.61114501953125,15.61114501953125
22200591,2023-01-07,114.08334,121,-6.916656494140625,6.916656494140625
22200592,2023-01-07,115.00506,118,-2.9949417114257812,2.9949417114257812
22200594,2023-01-07,114.61741,115,-0.38259124755859375,0.38259124755859375
22200595,2023-01-07,115.66314,136,-20.33686065673828,20.33686065673828
22200593,2023-01-07,115.23037,117,-1.7696304321289062,1.7696304321289062
22200604,2023-01-08,122.39402,112,10.394020080566406,10.394020080566406
22200601,2023-01-08,116.6876,104,12.687599182128906,12.687599182128906
22200602,2023-01-08,115.57653,109,6.576530456542969,6.576530456542969
22200598,2023-01-08,110.27347,111,-0.726531982421875,0.726531982421875
22200596,2023-01-08,126.07217,123,3.0721664428710938,3.0721664428710938
22200600,2023-01-08,116.25134,118,-1.7486572265625,1.7486572265625
22200597,2023-01-08,114.67277,105,9.672767639160156,9.672767639160156
22200603,2023-01-08,107.18133,112,-4.818672180175781,4.818672180175781
22200599,2023-01-08,113.66452,102,11.664520263671875,11.664520263671875
22200610,2023-01-09,109.862045,111,-1.1379547119140625,1.1379547119140625
22200609,2023-01-09,104.99975,109,-4.000251770019531,4.000251770019531
22200608,2023-01-09,117.330154,113,4.3301544189453125,4.3301544189453125
22200606,2023-01-09,119.55377,99,20.55377197265625,20.55377197265625
22200605,2023-01-09,115.849594,132,-16.150405883789062,16.150405883789062
22200607,2023-01-09,102.70473,111,-8.295272827148438,8.295272827148438
22200617,2023-01-10,116.6005,101,15.600502014160156,15.600502014160156
22200616,2023-01-10,115.63021,109,6.630210876464844,6.630210876464844
22200612,2023-01-10,119.69711,116,3.697113037109375,3.697113037109375
22200614,2023-01-10,114.68139,114,0.6813888549804688,0.6813888549804688
22200613,2023-01-10,110.58767,120,-9.412330627441406,9.412330627441406
22200611,2023-01-10,114.556755,111,3.5567550659179688,3.5567550659179688
22200615,2023-01-10,105.218124,125,-19.781875610351562,19.781875610351562
22200620,2023-01-11,117.50976,114,3.5097579956054688,3.5097579956054688
22200619,2023-01-11,118.15708,97,21.157081604003906,21.157081604003906
22200625,2023-01-11,116.92308,115,1.9230804443359375,1.9230804443359375
22200624,2023-01-11,101.000374,97,4.000373840332031,4.000373840332031
22200621,2023-01-11,121.10534,114,7.105339050292969,7.105339050292969
22200622,2023-01-11,109.164825,113,-3.835174560546875,3.835174560546875
22200623,2023-01-11,117.33034,129,-11.669662475585938,11.669662475585938
22200618,2023-01-11,113.79519,118,-4.204811096191406,4.204811096191406
22200628,2023-01-12,107.0285,102,5.02850341796875,5.02850341796875
22200631,2023-01-12,122.14944,119,3.1494369506835938,3.1494369506835938
22200630,2023-01-12,114.5523,119,-4.447700500488281,4.447700500488281
22200629,2023-01-12,110.09497,114,-3.905029296875,3.905029296875
22200626,2023-01-12,109.86302,133,-23.136978149414062,23.136978149414062
22200627,2023-01-12,106.65693,109,-2.3430709838867188,2.3430709838867188
22200637,2023-01-13,103.63095,116,-12.369049072265625,12.369049072265625
22200639,2023-01-13,104.76402,115,-10.235977172851562,10.235977172851562
22200638,2023-01-13,111.66438,108,3.6643829345703125,3.6643829345703125
22200633,2023-01-13,119.65174,113,6.651741027832031,6.651741027832031
22200635,2023-01-13,116.11698,144,-27.883018493652344,27.883018493652344
22200636,2023-01-13,98.59774,124,-25.402259826660156,25.402259826660156
22200632,2023-01-13,110.66023,116,-5.3397674560546875,5.3397674560546875
